bios,typ,date,tracks,heads,sektors_tr,pre,landing,sektors_al
PHOENIX,12,,855,7,17,,855,101745
PHOENIX,13,,306,8,17,128,319,41616
PHOENIX,14,,733,7,17,,733,87227
PHOENIX,16,,612,4,17,,663,41616
PHOENIX,17,,977,5,17,300,977,83045
PHOENIX,18,,977,7,17,,977,116263
PHOENIX,19,,1024,7,17,512,1023,121856
PHOENIX,20,,733,5,17,300,732,62305
PHOENIX,21,,733,7,17,300,732,87227
PHOENIX,22,,733,5,17,300,733,62305
PHOENIX,23,,306,4,17,,336,20808
PHOENIX,25,,615,4,17,,615,41820
PHOENIX,26,,1024,4,17,0,1023,69632
PHOENIX,27,,1024,5,17,,1023,87040
PHOENIX,28,,1024,8,17,,1023,139264
PHOENIX,29,,512,8,17,256,512,69632
PHOENIX,30,,615,2,17,615,615,20910
PHOENIX,31,,989,5,17,,989,84065
PHOENIX,32,,1020,15,17,,1024,260100
PHOENIX,35,,1024,9,17,1024,1024,156672
PHOENIX,36,,1024,5,17,512,1024,87040
PHOENIX,37,,830,10,17,0,830,141100
PHOENIX,38,,823,10,17,256,824,139910
PHOENIX,39,,615,4,17,128,664,41820
PHOENIX,40,,615,8,17,128,664,83640
PHOENIX,41,,917,15,17,,918,233835
PHOENIX,42,,1023,15,17,,1024,260865
PHOENIX,43,,823,10,17,512,823,139910
PHOENIX,44,,820,6,17,,820,83640
PHOENIX,45,,1024,8,17,,1024,139264
PHOENIX,46,,925,9,17,,925,141525
PHOENIX,47,,699,7,17,256,700,83181
AWARD,1,,306,4,17,128,305,20808
AWARD,2,,615,4,17,300,615,41820
AWARD,3,,615,6,17,300,615,62730
AWARD,4,,940,8,17,512,940,127840
AWARD,5,,940,6,17,512,940,95880
AWARD,6,,615,4,17,,615,41820
AWARD,7,,462,8,17,256,511,62832
AWARD,8,,733,5,17,,733,62305
AWARD,9,,900,15,17,0,901,229500
AWARD,10,,820,3,17,,820,41820
AWARD,11,,855,5,17,,855,72675
AWARD,12,,855,7,17,,855,101745
AWARD,13,,306,8,17,128,319,41616
AWARD,14,,733,7,17,,733,87227
AWARD,16,,612,4,17,,663,41616
AWARD,17,,977,5,17,300,977,83045
AWARD,18,,977,7,17,,977,116263
AWARD,19,,1024,7,17,512,1023,121856
AWARD,20,,733,5,17,300,732,62305
AWARD,21,,733,7,17,300,732,87227
AWARD,22,,733,5,17,300,733,62305
AWARD,23,,306,4,17,,336,20808
AMI,1,,306,4,17,128,305,20808
AMI,2,,615,4,17,300,615,41820
AMI,3,,615,6,17,300,615,62730
AMI,4,,940,8,17,512,940,127840
AMI,5,,940,6,17,512,940,95880
AMI,7,,462,8,17,256,511,62832
AMI,8,,733,5,17,,733,62305
AMI,9,,900,15,17,,901,229500
AMI,10,,820,3,17,,820,41820
AMI,11,,855,5,17,,855,72675
AMI,12,,855,7,17,,855,101745
AMI,13,,306,8,17,128,319,41616
AMI,14,,733,7,17,,733,87227
AMI,16,,612,4,17,,663,41616
AMI,17,,977,5,17,300,977,83045
AMI,18,,977,7,17,,977,116263
AMI,19,,1024,7,17,512,1023,121856
AMI,20,,733,5,17,300,732,62305
AMI,21,,733,7,17,300,732,87227
AMI,22,,733,5,17,300,733,62305
AMI,23,,306,4,17,,336,20808
AMI,24,,925,7,17,,699,110075
AMI,25,,925,9,17,,925,141525
AMI,26,,754,7,17,754,754,89726
AMI,27,,754,11,17,0,754,140998
AMI,28,,699,7,17,256,699,83181
AMI,29,,823,10,17,,823,139910
AMI,30,,918,7,17,918,918,109242
AMI,31,,1024,11,17,,1024,191488
AMI,32,,1024,15,17,0,1024,261120
AMI,33,,1024,5,17,1024,1024,87040
AMI,34,,612,2,17,128,612,20808
AMI,35,,1024,9,17,512,1024,156672
AMI,36,,1024,8,17,512,1024,139264
AMI,37,,615,8,17,128,615,83640
AMI,38,,987,3,17,987,987,50337
AMI,39,,987,7,17,987,987,117453
AMI,40,,820,6,17,820,820,83640
AMI,41,,977,5,17,977,977,83045
AMI,42,,981,5,17,981,981,83385
AMI,43,,830,7,17,512,830,98770
AMI,44,,830,10,17,,830,141100
AMI,45,,917,15,17,,918,233835
AMI,46,,1224,15,17,,1223,312120
HP,1,,306,4,17,128,305,20808
HP,2,,615,4,17,310,615,41820
HP,3,,615,6,17,310,615,62730
HP,4,,940,8,17,512,940,127840
HP,5,,940,6,17,512,940,95880
HP,6,,615,4,17,0,615,41820
HP,7,,462,8,17,256,511,62832
HP,8,,733,5,17,0,733,62305
HP,9,,900,15,17,0,901,229500
HP,10,,820,3,17,0,820,41820
HP,11,,855,5,17,0,855,72675
HP,12,,855,7,17,0,855,101745
HP,13,,306,8,17,128,319,41616
HP,14,,733,7,17,0,733,87227
HP,16,,612,4,17,0,663,41616
HP,17,,977,5,17,310,977,83045
HP,18,,977,7,17,0,977,116263
HP,19,,1024,7,17,512,1023,121856
HP,20,,733,5,17,310,732,62305
HP,21,,733,7,17,310,732,87227
HP,22,,733,5,17,310,733,62305
HP,23,,306,4,17,0,336,20808
HP,24,,612,4,17,305,663,41616
HP,25,,306,4,17,0,340,20808
HP,26,,612,4,17,0,670,41616
HP,27,,698,7,17,310,732,83062
HP,28,,976,5,17,488,977,82960
HP,29,,306,4,17,0,340,20808
HP,30,,611,4,17,306,633,41548
HP,31,,732,7,17,310,732,87108
HP,32,,1023,5,17,0,1023,86955
HP,39,,511,10,17,0,511,86870
HP,40,,624,10,17,0,624,106080
HP,41,,624,14,17,0,624,148512
HP,42,,791,15,17,0,791,201705
HP,43,,1023,16,17,0,1023,278256
HP,44,,820,6,17,0,820,83640
HP,45,,791,8,17,0,791,107576
HP,46,,791,12,17,0,791,161364
HP,47,,791,16,17,0,791,215152
